accuracy,precision_risk,recall_risk,f1_risk,roc_auc,model,threshold
0.9761904761904762,0.9354838709677419,0.9830508474576272,0.9586776859504132,0.9778314064429229,DecisionTree,0.9315629541551064
0.9761904761904762,0.9821428571428571,0.9322033898305084,0.9565217391304348,0.996183634526883,XGBoost,0.9974613189697266
0.9714285714285714,0.9344262295081968,0.9661016949152542,0.95,,Baseline_Ratio_Cobertura,
0.9619047619047619,1.0,0.864406779661017,0.9272727272727272,0.9979795712201145,LogisticRegression,0.9366990978567667
0.9428571428571428,0.9795918367346939,0.8135593220338984,0.8888888888888888,0.9965203726568638,RandomForest,0.9561417995672735
